"filename", "language", "PHP", "Markdown", "JavaScript", "SCSS", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\wamp64\www\role_and_permissions\database\migrations\2024_12_14_061721_create_pages_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 6, 4, 31
"c:\wamp64\www\role_and_permissions\database\migrations\2024_12_14_074326_add_user_id_to_blogs_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 7, 4, 30
"c:\wamp64\www\role_and_permissions\database\migrations\2024_12_14_105159_add_user_id_to_news_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 7, 4, 30
"c:\wamp64\www\role_and_permissions\database\migrations\2024_12_14_112536_add_user_id_to_pages_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2024_12_17_035646_create_modules_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 5, 31
"c:\wamp64\www\role_and_permissions\database\migrations\2024_12_17_092147_createmodule_permission_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 4, 30
"c:\wamp64\www\role_and_permissions\database\migrations\2024_12_28_071330_create_action_users_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 6, 5, 33
"c:\wamp64\www\role_and_permissions\database\migrations\2024_12_28_115920_add_deleted_at_to_action_users_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2024_12_30_090720_create_menus_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 6, 4, 31
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_02_091514_create_domains_table.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 6, 4, 38
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_02_120424_create_languages_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 6, 4, 30
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_03_040130_add_domain_to_blogs_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 7, 4, 30
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_03_040322_add_domain_to_news_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 7, 4, 30
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_04_043502_create_departments_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_04_055024_create_designations_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_06_061206_add_department_to_designations_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_06_062942_add_level_to_designations_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_06_064259_add_department_to_users_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 7, 4, 30
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_07_091055_create_statuses_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_07_101134_add_status_to_blogs_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_07_115707_add_status_id__to_news_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_10_051052_create_approved_statuses_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 6, 4, 32
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_10_053405_add_designation_id_to_blogs_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_16_045758_create_approved_news_statuses_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 6, 4, 32
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_18_070506_country.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 1, 5, 85
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_20_055221_add_country_id_to_blogs_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_20_061003_add_country_id_to_news_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_20_065637_create_City_table.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 1, 5, 56
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_20_065642_create_State_table.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\wamp64\www\role_and_permissions\database\migrations\2025_01_23_070925_create_file_manager_controllers_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 6, 4, 28
"c:\wamp64\www\role_and_permissions\database\seeders\ActionUserSeeder.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 3, 4, 20
"c:\wamp64\www\role_and_permissions\database\seeders\ApprovedNewsStatusSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\database\seeders\ApprovedStatusSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\database\seeders\BlogSeeder.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 3, 4, 21
"c:\wamp64\www\role_and_permissions\database\seeders\CreateAdminUserSeeder.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 3, 8, 33
"c:\wamp64\www\role_and_permissions\database\seeders\DatabaseSeeder.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 11, 9, 50
"c:\wamp64\www\role_and_permissions\database\seeders\DepartmentSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\database\seeders\DesignationSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\database\seeders\DomainSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\database\seeders\FileManagerControllerSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\database\seeders\LanguageSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\database\seeders\MenuSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\database\seeders\NewsSeeder.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 3, 4, 21
"c:\wamp64\www\role_and_permissions\database\seeders\PagesSeeder.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 3, 5, 22
"c:\wamp64\www\role_and_permissions\database\seeders\PermissionTableSeeder.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 3, 5, 60
"c:\wamp64\www\role_and_permissions\database\seeders\StatusSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\wamp64\www\role_and_permissions\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 3146, 0, 1, 3147
"c:\wamp64\www\role_and_permissions\package.json", "JSON", 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\wamp64\www\role_and_permissions\phpunit.xml", "XML", 0, 0, 0, 0, 0, 31, 0, 2, 1, 34
"c:\wamp64\www\role_and_permissions\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\css\bootstrap-iconpicker.css", "CSS", 0, 0, 0, 0, 40, 0, 0, 9, 12, 61
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\css\bootstrap-iconpicker.min.css", "CSS", 0, 0, 0, 0, 40, 0, 0, 9, 11, 60
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\bootstrap-iconpicker-iconset-all.js", "JavaScript", 0, 0, 26369, 0, 0, 0, 0, 78, 67, 26514
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\bootstrap-iconpicker-iconset-all.min.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 9, 1, 28
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\bootstrap-iconpicker.bundle.min.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 9, 1, 29
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\bootstrap-iconpicker.js", "JavaScript", 0, 0, 462, 0, 0, 0, 0, 34, 55, 551
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\bootstrap-iconpicker.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 9, 1, 11
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\iconset\fontawesome5-3-1-pro.js", "JavaScript", 0, 0, 2647, 0, 0, 0, 0, 6, 2, 2655
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\iconset\fontawesome5-3-1.js", "JavaScript", 0, 0, 1351, 0, 0, 0, 0, 6, 2, 1359
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\iconset\fontawesome5-3-1.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\iconset\ionicon2-0-1.js", "JavaScript", 0, 0, 743, 0, 0, 0, 0, 6, 2, 751
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\iconset\materialdesign2-2-0.js", "JavaScript", 0, 0, 828, 0, 0, 0, 0, 6, 2, 836
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\jquery-menu-editor.js", "JavaScript", 0, 0, 1018, 0, 0, 0, 0, 225, 157, 1400
"c:\wamp64\www\role_and_permissions\public\bootstrap-iconpicker\js\jquery-menu-editor.min.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 9, 0, 12
"c:\wamp64\www\role_and_permissions\public\css\Flaticon.svg", "XML", 0, 0, 0, 0, 0, 205, 0, 3, 1, 209
"c:\wamp64\www\role_and_permissions\public\css\Linearicons-Free.svg", "XML", 0, 0, 0, 0, 0, 199, 0, 0, 0, 199
"c:\wamp64\www\role_and_permissions\public\css\about.css", "CSS", 0, 0, 0, 0, 52, 0, 0, 2, 9, 63
"c:\wamp64\www\role_and_permissions\public\css\animate.css", "CSS", 0, 0, 0, 0, 1274, 0, 0, 1025, 201, 2500
"c:\wamp64\www\role_and_permissions\public\css\blogsite.css", "CSS", 0, 0, 0, 0, 237, 0, 0, 11, 47, 295
"c:\wamp64\www\role_and_permissions\public\css\bootsnav.css", "CSS", 0, 0, 0, 0, 1170, 0, 0, 60, 245, 1475
"c:\wamp64\www\role_and_permissions\public\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 5, 0, 6
"c:\wamp64\www\role_and_permissions\public\css\contactus.css", "CSS", 0, 0, 0, 0, 162, 0, 0, 6, 31, 199
"c:\wamp64\www\role_and_permissions\public\css\flaticon.css", "CSS", 0, 0, 0, 0, 35, 0, 0, 4, 4, 43
"c:\wamp64\www\role_and_permissions\public\css\font-awesome.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 3, 1, 5
"c:\wamp64\www\role_and_permissions\public\css\fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 0, 2671, 0, 0, 1, 2672
"c:\wamp64\www\role_and_permissions\public\css\glyphicons-halflings-regular.svg", "XML", 0, 0, 0, 0, 0, 288, 0, 0, 0, 288
"c:\wamp64\www\role_and_permissions\public\css\linearicons.css", "CSS", 0, 0, 0, 0, 532, 0, 0, 1, 3, 536
"c:\wamp64\www\role_and_permissions\public\css\responsive.css", "CSS", 0, 0, 0, 0, 82, 0, 0, 0, 36, 118
"c:\wamp64\www\role_and_permissions\public\css\sidebar.css", "CSS", 0, 0, 0, 0, 150, 0, 0, 34, 34, 218
"c:\wamp64\www\role_and_permissions\public\css\sitefooter.css", "CSS", 0, 0, 0, 0, 68, 0, 0, 4, 13, 85
"c:\wamp64\www\role_and_permissions\public\css\slick-theme.css", "CSS", 0, 0, 0, 0, 170, 0, 0, 4, 31, 205
"c:\wamp64\www\role_and_permissions\public\css\slick.css", "CSS", 0, 0, 0, 0, 104, 0, 0, 1, 15, 120
"c:\wamp64\www\role_and_permissions\public\css\slick.svg", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\wamp64\www\role_and_permissions\public\css\style.css", "CSS", 0, 0, 0, 0, 797, 0, 0, 89, 65, 951
"c:\wamp64\www\role_and_permissions\public\index.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 3, 6, 18
"c:\wamp64\www\role_and_permissions\public\js\apexcharts.js", "JavaScript", 0, 0, 81, 0, 0, 0, 0, 25, 7, 113
"c:\wamp64\www\role_and_permissions\public\js\bootsnav.js", "JavaScript", 0, 0, 417, 0, 0, 0, 0, 101, 81, 599
"c:\wamp64\www\role_and_permissions\public\js\bootstrap.js", "JavaScript", 0, 0, 371, 0, 0, 0, 0, 257, 181, 809
"c:\wamp64\www\role_and_permissions\public\js\bootstrap.min.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 5, 0, 7
"c:\wamp64\www\role_and_permissions\public\js\config.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 7, 5, 30
"c:\wamp64\www\role_and_permissions\public\js\custom.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 18, 27, 111
"c:\wamp64\www\role_and_permissions\public\js\dashboards-analytics.js", "JavaScript", 0, 0, 637, 0, 0, 0, 0, 16, 10, 663
"c:\wamp64\www\role_and_permissions\public\js\feather.min.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 5, 0, 7
"c:\wamp64\www\role_and_permissions\public\js\helpers.js", "JavaScript", 0, 0, 76, 0, 0, 0, 0, 21, 4, 101
"c:\wamp64\www\role_and_permissions\public\js\jquery.counterup.min.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 7, 0, 9
"c:\wamp64\www\role_and_permissions\public\js\jquery.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 25, 7, 112
"c:\wamp64\www\role_and_permissions\public\js\main.js", "JavaScript", 0, 0, 74, 0, 0, 0, 0, 25, 20, 119
"c:\wamp64\www\role_and_permissions\public\js\menu.js", "JavaScript", 0, 0, 76, 0, 0, 0, 0, 21, 4, 101
"c:\wamp64\www\role_and_permissions\public\js\perfect-scrollbar.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 25, 7, 112
"c:\wamp64\www\role_and_permissions\public\js\popper.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 25, 7, 112
"c:\wamp64\www\role_and_permissions\public\js\slick.min.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 16, 0, 18
"c:\wamp64\www\role_and_permissions\public\js\waypoints.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 7, 0, 8
"c:\wamp64\www\role_and_permissions\public\vendor\file-manager\css\file-manager.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 7, 1, 10
"c:\wamp64\www\role_and_permissions\public\vendor\file-manager\js\file-manager.js", "JavaScript", 0, 0, 103, 0, 0, 0, 0, 10, 2, 115
"c:\wamp64\www\role_and_permissions\resources\css\app.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\wamp64\www\role_and_permissions\resources\js\app.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\wamp64\www\role_and_permissions\resources\js\bootstrap.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 23, 8, 35
"c:\wamp64\www\role_and_permissions\resources\sass\_variables.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 2, 2, 8
"c:\wamp64\www\role_and_permissions\resources\sass\app.scss", "SCSS", 0, 0, 0, 3, 0, 0, 0, 3, 3, 9
"c:\wamp64\www\role_and_permissions\resources\views\SiteLayout\appSite.blade.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 8, 24
"c:\wamp64\www\role_and_permissions\resources\views\SiteLayout\footer.blade.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 0, 2, 70
"c:\wamp64\www\role_and_permissions\resources\views\SiteLayout\header.blade.php", "PHP", 307, 0, 0, 0, 0, 0, 0, 3, 24, 334
"c:\wamp64\www\role_and_permissions\resources\views\auth\login.blade.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 0, 13, 74
"c:\wamp64\www\role_and_permissions\resources\views\auth\passwords\confirm.blade.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 9, 50
"c:\wamp64\www\role_and_permissions\resources\views\auth\passwords\email.blade.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 8, 48
"c:\wamp64\www\role_and_permissions\resources\views\auth\passwords\reset.blade.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 13, 66
"c:\wamp64\www\role_and_permissions\resources\views\auth\register.blade.php", "PHP", 63, 0, 0, 0, 0, 0, 0, 0, 15, 78
"c:\wamp64\www\role_and_permissions\resources\views\auth\verify.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\wamp64\www\role_and_permissions\resources\views\backend\City\create.blade.php", "PHP", 133, 0, 0, 0, 0, 0, 0, 0, 27, 160
"c:\wamp64\www\role_and_permissions\resources\views\backend\City\edit.blade.php", "PHP", 134, 0, 0, 0, 0, 0, 0, 0, 27, 161
"c:\wamp64\www\role_and_permissions\resources\views\backend\City\index.blade.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 12, 61
"c:\wamp64\www\role_and_permissions\resources\views\backend\Country\create.blade.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 14, 76
"c:\wamp64\www\role_and_permissions\resources\views\backend\Country\edit.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\wamp64\www\role_and_permissions\resources\views\backend\Country\index.blade.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 12, 61
